message_id,date,customer_segment,channel,content,conversion_rate
M001,2026-05-01,discount_sensitive,SMS,Bugüne özel seçili taze ürünlerde yüzde 25 indirim var.,0.18
M002,2026-05-01,discount_sensitive,WhatsApp,Fiyat avantajı arayan müşteriler için son saat fırsatı başladı.,0.21
M003,2026-05-01,discount_sensitive,Push,Yakın mağazada indirimli ürünleri tükenmeden ayırabilirsiniz.,0.17
M004,2026-05-02,healthy_living,Email,Taze salata ve meyve ürünlerinde günlük sağlıklı sepet önerisi hazır.,0.12
M005,2026-05-02,healthy_living,WhatsApp,Bugün smoothie ve kahvaltı sepeti için taze meyve fırsatı var.,0.19
M006,2026-05-02,healthy_living,Push,Taze ürün soran müşteriler için sınırlı stok bildirimi gönderildi.,0.16
M007,2026-05-03,family,WhatsApp,Aile kahvaltısına özel süt ürünü bundle kampanyası başladı.,0.15
M008,2026-05-03,family,SMS,Çocuklu aileler için kahvaltılık ve fırın ürünleri avantajlı paket oldu.,0.14
M009,2026-05-03,family,Email,Haftalık aile alışverişinde taze ürünleri birlikte daha uygun alın.,0.11
M010,2026-05-04,nearby,Push,Yakın mağazada bugün hızlı teslimatla taze ürün fırsatları var.,0.24
M011,2026-05-04,nearby,WhatsApp,15 dakika içinde teslim/alım için sınırlı stoklu fırsat ürünleri hazır.,0.22
M012,2026-05-04,nearby,SMS,Yakın bölgeye özel gün sonu taze ürün indirimi başladı.,0.2
M013,2026-05-05,premium,WhatsApp,Akşam yemeği için seçili balık ve protein ürünlerinde sınırlı stok avantajı.,0.14
M014,2026-05-05,premium,Email,Bugün tüketim için önerilen premium protein ürünlerinde özel fiyat var.,0.1
M015,2026-05-05,premium,SMS,Taze et ve balık ürünlerinde güvenli tüketim süresi içinde hızlı fırsat.,0.13
M016,2026-05-06,bulk_buyer,WhatsApp,Toplu alım için sebze ve fırın ürünlerinde özel fiyat hazırlanabilir.,0.23
M017,2026-05-06,bulk_buyer,Email,Restoran ve kafe alımlarına özel gün sonu paket teklifimiz var.,0.18
M018,2026-05-06,bulk_buyer,SMS,Toplu sipariş verirseniz bugün teslim kampanyası uygulanabilir.,0.16
M019,2026-05-07,complaint_risk,WhatsApp,Tazelik konusunda hassas olduğunuzu biliyoruz; bugün gelen ürünleri sizin için ayırabiliriz.,0.09
M020,2026-05-07,complaint_risk,Email,Son alışveriş deneyiminiz için telafi amaçlı taze ürün avantajı sunuyoruz.,0.08
